Title	Artist	URL	Playlist Title
I Remember	deadmau5	IlHTsCx913c	Modern
One More Time	Daft Punk	fa5IWHDbftI	Modern
Breathing Underwater	Hiatus Kaiyote	ZsZh0azKrEY	Modern
The Way	Fastball	3ZolDgbV6qI	Modern
Moody	Bitter:Sweet	6k6TeXxEUt4	Modern
Hollowed Heart	Make Them Suffer	KUJdF5xEmnY	Modern
Don't Look Back	Telepopmusik	IYHHUDqpeUQ	Modern
Tokyo Witch	Beach House	CY47BZAQwt4	Modern
Talk Show Host (Nellee Hooper Mix)	Radiohead	dVOntlo8wys	Modern
Lines In Wax	Flux Pavilion	HFjR3hhQLkQ	Modern
Storm Returns (A Prefuse/Tommy Guerrero Interlude)	Prefuse 73	pgfvj9ZebZc	Modern
F.H.H. (Instrumental)	RJD2	nOapSN4RZRw	Modern
Throwing Fire	Ronald Jenkees	uSjmvrqC8Sc	Modern
Shine	The Alchemist	dGr46lPQQ1w	Modern
Playground Love	Air	0yNA6C1v9iU	Modern
I Melt with You (7" Mix)	Modern English	Is-osO04u3c	Modern
Crush	Jennifer Paige	FiNHLO9yyac	Modern
SLOW DANCING IN THE DARK	Joji	5xwmensMDn0	Modern
Hip-Hop	dead prez	8OK-u9IH2X4	Modern
The Anthem	Gramatik	yq1yi7binB8	Modern
Fishin'	Takénobu	ba9nDgi7ALE	Modern
Don't Forget To Breathe	Bitter:Sweet	yj2Av6eFAKI	Modern
Bittersweet Faith	Bitter:Sweet	Nnhtlny9feM	Modern
6 Underground	Sneaker Pimps	ATAj1iyzi_o	Modern
It's Amazing	Jem	D0A5RzPB3AU	Modern
Then The Morning Comes	Smash Mouth	FvQ7iOcl3Ac	Modern
True Romance (feat. Lilja Bloom)	Parov Stelar	n5C6NvZgHA8	Modern
Playaz Circle - U Can Believe It (Instrumental)	Instru-MENTAL	ieaIQmCThwg	Modern
Six Days	DJ Shadow	BPLQVE_zYc8	Modern
Modestep - Exile	Matz	vb4cSGw3H5A	Modern
Flux Pavilion - Lines In Wax (feat. Foreign Beggars) (Full Version) [HD]	TrulyDubstep	b9wyVhS5gQg	Modern
OOAH - THE LOVE I NEED	BizzEpicMusic	kjFInKxlT2w	Modern
Dillon Francis - Beautician	BassRape	UW2KM9E4nU8	Modern
Freestylers - Cracks ft. Belle Humble (Flux Pavilion Remix) HQ Full Extended Mix	Liam Sullivan	-cVbw8RZOfM	Modern
Bassnectar - Timestretch (Official)	Bassnectar	5M-jOZRe0-8	Modern
Vespertina (Stoupe & Lorrie Doriza) Devil's Dance	ripk123	gM8z9rP7920	Modern
PANTyRAiD - The Music's Not Over (Official)	Pantyraid	oK3L-ZbWHv8	Modern
Babylon of the Occident (Instrumental)	The Shanghai Restoration Project	pKfH_hminSI	Modern
Didn't Cha Know	Erykah Badu	b4fCymLkgOQ	Modern
Someday	Sugar Ray	QBv8oXF_fF8	Modern
Island In The Sun	Weezer	beX-9wW5rL0	Modern
Underneath It All	No Doubt	NK1knNrZddE	Modern
The Whole World	Outkast	kPtk5aP5UeE	Modern
Special	Garbage	sxFyB9oFnkI	Modern
Mellow - TAKE ME HIGHER (2002) - "CQ" Soundtrack - Alison David	pyenapple	rC7Ltr9kZWQ	Modern
I Love the Flower Girl	The Butterhills	kiv0hyZqUNk	Classic Rock
Don't Be Cruel	Billy Swan	xEnY4cOppLg	Classic Rock
All Lips 'n' Hips	Electric Boys	2WvQnz0QpLk	Classic Rock
California Dreamin'	The Mamas & the Papas	oU6uUEwZ8FM	Classic Rock
Dear Mr. Fantasy	Traffic	sS_eHdqcrM8	Classic Rock
Hush	Deep Purple	E2vxVyosi18	Classic Rock
Judy in Disguise (with Glasses)	John Fred & His Playboy Band	I0bLoaVFpTQ	Classic Rock
Time Won't Let Me	The Outsiders	CS1sYR7xky8	Classic Rock
Stop Stop Stop (Mono) (1999 Remastered Version)	The Hollies	sq1UHqY5U1c	Classic Rock
Get Together	The Youngbloods	_rxvU1wkyec	Classic Rock
Daydream	The Lovin' Spoonful	KSZZ5vEkM4o	Classic Rock
Do You Believe in Magic?	The Lovin' Spoonful	AO0akwvUh_c	Classic Rock
Summer in the City (Remastered)	The Lovin' Spoonful	QT9_CJOw7E4	Classic Rock
Groenlandia	The Zombies	_nr9ObSqfWc	Classic Rock
Tell Her No	The Zombies	3OL9ncYozAM	Classic Rock
No Sugar Tonight / New Mother Nature	The Guess Who	uDOQguimngQ	Classic Rock
American Woman	The Guess Who	E4bkitX1xh4	Classic Rock
These Eyes	The Guess Who	GADRQjY9PEQ	Classic Rock
Kelly Told Anne	Tommy James	uby2xgmWLIY	Classic Rock
Do Something to Me	Tommy James	Y-GktjUaMLA	Classic Rock
I'm Alive	Tommy James	xmiZSVlH1gA	Classic Rock
Hanky Panky	Tommy James	i5spjdRrpGA	Classic Rock
I Think We're Alone Now	Tommy James	FeGmP0E5bHE	Classic Rock
Draggin' the Line	Tommy James	1sEDV3uSyx8	Classic Rock
Wipe Out	The Surfaris	dBURLdhmmZ8	Classic Rock
Ooh La La	Faces	RUGKx_kWaVk	Classic Rock
Dreams (2004 Remaster)	Fleetwood Mac	5oWyMakvQew	Classic Rock
White Rabbit	Jefferson Airplane	5aeWicwy7fA	Classic Rock
Come and Get Your Love	Redbone	rsf_gTZG4cI	Classic Rock
Tell Me Something Good	Rufus and Chaka Khan	vuDCi5neNMM	Classic Rock
Dancing in the Moonlight	King Harvest	0eHBLHVHjWg	Classic Rock
Monday, Monday	The Mamas & the Papas	VsIjOKCxRSE	Classic Rock
Honky Tonk Women ((Original Single Stereo Version))	The Rolling Stones	61jfm219ArA	Classic Rock
Going Up The Country	Canned Heat	La1J2Ze7vzc	Classic Rock
Get Off Of My Cloud (Mono Version)	The Rolling Stones	gZYjeKyONjY	Classic Rock
House Of The Rising Sun	The Animals	MJkr0DWbhTk	Classic Rock
Long Cool Woman (In a Black Dress) (1999 Remaster)	The Hollies	KbJOsej3ZK0	Classic Rock
Mighty Quinn	Manfred Mann	hbxmzZoh5bM	Classic Rock
Daydream Believer	The Monkees	aG9MBS0fjyE	Classic Rock
Bang a Gong (Get It On)	T. Rex	EzACZW65rpE	Classic Rock
Crimson & Clover (Long Version)	Tommy James	2LGD4MiSlEs	Classic Rock
Magic Carpet Ride	Steppenwolf	eGkGNCUQtWY	Classic Rock
Spirit In The Sky	Norman Greenbaum	xi_3GtQN2IA	Classic Rock
96 Tears	? & The Mysterians	sjCMLU3Zil0	Classic Rock
Mony Mony	Tommy James	qdrx9F6WEzM	Classic Rock
Paint It, Black	The Rolling Stones	170sceOWWXc	Classic Rock
Time of the Season	The Zombies	pfw20G0nU2o	Classic Rock
[I Can't Get No] Satisfaction	The Rolling Stones	eUpb-ALfUzc	Classic Rock
I Got You Babe	Sonny & Cher	r3BWaRkJ58M	Classic Rock
Louie Louie	The Kingsmen	xKt75jUuKJY	Classic Rock
Wild Thing	The Troggs	bLJkrOYHNw8	Classic Rock
She's Not There	The Zombies	YmO3MtWIwi8	Classic Rock
One Thing Leads To Another	The Fixx	7dY4qtLaUlE	Classic Rock
Simply Irresistible	Robert Palmer	KCtsp0wul0A	Classic Rock
Rock 'n' Roll (Part 2)	Gary Glitter	6sjGBXckGB4	Classic Rock
Can't Seem To Make You Mine	Sky Saxon	Z5wHZvCGgEk	Classic Rock
Hooked On A Feeling - BJ Thomas (Lyric Video) [HQ Audio]	SC Entertainment	FY7-uog-mhE	Classic Rock
Let's Live For Today (Uncensored Version)	The Grass Roots	jk2h_ePt6VQ	Classic Rock
Gimme Some Lovin' (Single Mix)	The Spencer Davis Group	ZaK4LPrYI0A	Classic Rock
Hooked On A Feeling	Björn Skifs	7Z3uhIRkBNw	Classic Rock
A Summer Song	Chad & Jeremy	JVp2l_M2vvc	Classic Rock
Little Green Bag	George Baker Selection	U9VVt_dNq6U	Classic Rock
You Showed Me	The Turtles	ItfoFXkhqGw	Classic Rock
Southern Nights	Glen Campbell	X6-sU7pVJ3k	Classic Rock
Windy (Remastered Version)	The Association	VUv9OK4KUv8	Classic Rock
Himig Panglangit (feat. Bill Aujero)	Shalom Singers	gquosTtl9Ko	Classic Rock
Love Is Like Oxygen	Sweet	unsQSNQYERI	Classic Rock
Baby, Please Don't Go	Them	dL60VXOXtSQ	Classic Rock
No One Knows	Queens Of The Stone Age	z_59a_hnYdU	MONSTER I
Chip 'N' Dale's Rescue Rangers Theme Song	The Disney Studio Chorus	RjqD5cYn_QA	MONSTER I
Hysteria	Muse	27zOar_iEOA	MONSTER I
One Headlight	The Wallflowers	yjbzUEJONNU	MONSTER I
She's so High	Tal Bachman	jmB9-99_9Y8	MONSTER I
Shine	Collective Soul	KtqaINvy_f8	MONSTER I
How's It Going to Be	Third Eye Blind	2dITTT-OaWE	MONSTER I
Someday	Sugar Ray	QBv8oXF_fF8	MONSTER I
The Distance	Cake	JH6il8U3EU0	MONSTER I
Where The River Flows	Collective Soul	k2zGJ5PXok8	MONSTER I
Muppet Treasure Island OST,T16 Love Power	TheMuppetmike	NdvXcM2cHi4	MONSTER I
Miss You	Trentemøller	PO9bcVTbRcg	MONSTER I
Angel	Massive Attack	HLrqNhgdiC0	MONSTER I
Six Days	DJ Shadow	BPLQVE_zYc8	MONSTER I
Island In The Sun	Weezer	beX-9wW5rL0	MONSTER I
Take Me Out	Franz Ferdinand	h_JR9kIw38U	MONSTER I
Teenagers	My Chemical Romance	jLKOBJR5vHs	Similar
Beat It	Michael Jackson	kOn-HdEg6AQ	Similar
Paint It, Black	The Rolling Stones	170sceOWWXc	Similar
Stuck In The Middle With You	Stealers Wheel	ln7Vn_WKkWU	Similar
Karma Chameleon (Remastered 2002)	Culture Club	S8Cv5XbG428	Similar
Let's Stay Together	Al Green	EKOcfZtKvYQ	Similar
Suspicious Minds	Elvis Presley	xt8XQLvKBUs	Similar
Come Together (Remastered 2009)	The Beatles	oolpPmuK2I8	Similar
I Saw Her Standing There (Remastered 2009)	The Beatles	oxwAB3SECtc	Similar
Waterfalls	TLC	A_iTphwVNYs	Similar
I'm Not In Love	10cc	PC2HkP5gR2g	Similar
Dancing In the Dark	Bruce Springsteen	nCFTL4IO6t4	Similar
How Can You Mend a Broken Heart	Al Green	SuQJZp2yWc0	Similar
Bye Bye Bye	*NSYNC	fxHjlCBHuzA	Similar
We Didn't Start the Fire	Billy Joel	55q6jrfBDdk	Similar
I'm a Believer (2006 Remaster)	The Monkees	G5EuEF05G2M	Similar
Bad Reputation	Joan Jett & The Blackhearts	x6fB8KMUnz0	Similar
Teardrop	Massive Attack	3h-JYx76QNM	Similar
Happy Xmas (War Is Over)	John Lennon	flA5ndOyZbI	Similar
Oh	Ciara	IYtT0i12Pkc	Similar
Elvis Presley - All Shook Up (Official Audio)	ElvisPresleyVEVO	23zLefwiii4	Similar
Ain't No Sunshine	Bill Withers	8jjbhrR15Y8	Similar
Dear Mr. Fantasy	Traffic	sS_eHdqcrM8	Similar
Disco Inferno (Edit)	The Trammps	pG8TyIEAqps	Similar
You Never Give Me Your Money (Remastered 2009)	The Beatles	BpndGZ71yww	Similar
Just the Way You Are	Billy Joel	dBqyX0UUzVQ	Similar
These Eyes	The Guess Who	GADRQjY9PEQ	Similar
Every Morning	Sugar Ray	pUSgyQMapnw	Similar
No Sugar Tonight / New Mother Nature	The Guess Who	uDOQguimngQ	Similar
Do It To It	Cherish	HPTDgfhhJ3s	Similar
Poor Little Fool (Remastered)	Ricky Nelson	LIxHJpmvg7E	Similar
Ain't No Woman (Like The One I've Got)	Four Tops	kGNEYd7eClE	Similar
It's Still Rock and Roll to Me	Billy Joel	lvlPoBduEe4	Similar
Venus	Shocking Blue	L4oK_b82hxU	Similar
The Distance	Cake	JH6il8U3EU0	Similar
Try a Little Tenderness	Otis Redding	HKKbMBJgDJ4	Similar
Spiderwebs	No Doubt	UBVEie8bNdE	Similar
Unpretty	TLC	02DUe4UJOls	Similar
The Way	Fastball	3ZolDgbV6qI	Similar
All I've Got To Do (Remastered 2009)	The Beatles	anMW41uvb_s	Similar
Never Ever	All Saints	0980VkiWtpc	Similar
All I Wanna Do	Sheryl Crow	7OwfGDbJ7wQ	Similar
Lovin', Touchin', Squeezin'	Journey	L7jV2n9mLd4	Similar
Someday We'll Be Together	The Supremes	495BNPUeq1A	Similar
Wild Night	Van Morrison	bXoBnmJtqhY	Similar
I Think We're Alone Now	Tommy James	FeGmP0E5bHE	Similar
One Thing Leads To Another	The Fixx	7dY4qtLaUlE	Similar
Waiting for Tonight	Jennifer Lopez	OCN4OeMrc_o	Similar
Right Place Wrong Time	Dr. John	zw-2CTx4YgY	Similar
Then He Kissed Me	The Crystals	lE1z26Ik3Y0	Similar
Let Me Roll It (2010 Remaster)	Wings	ly_G9QBX_f0	Similar
Tighter, Tighter	Alive N Kickin'	tu9XxGpXXvE	Similar
The Stranger	Billy Joel	X3kpaSJtaDE	Similar
Do Ya	Electric Light Orchestra	piBQ0aRDarM	Similar
Little Sister	Elvis Presley	0kWK4NPib1A	Similar
Fooled Around And Fell In Love	Elvin Bishop	JmKfP6DzzuU	Similar
Suavecito	Malo	U7_63vFEz4Q	Similar
I Wanna Be Bad	Willa Ford	dCcZHyp0v6o	Similar
This Is Your Night (Original Edit)	Amber	VvKbbcsPQiI	Similar
That’ll Be the Day	Buddy Holly	M4TfFTmITLo	Similar
Crocodile Rock (Remastered)	Elton John	5GJ04MpWves	Similar
Games People Play	The Alan Parsons Project	GHyXUAKbq1M	Similar
Besame Mucho (Anthology 1 Version)	The Beatles	y0VwQXnkDqU	Similar
Boyz In The Hood	Dynamite Hack	lw2N-0clITI	Similar
Drift Away	Dobie Gray	g09_QO2xxl8	Similar
The One Who Really Loves You	Mary Wells	StnsQcSZiR8	Similar
Rock This Town	Stray Cats	4xmLyPZVaXQ	Similar
Billy Joel - Easy Money (Audio)	billyjoelVEVO	tdGzzfQ52TQ	Similar
The Stake	Steve Miller Band	Jqmk5ksji7k	Similar
Too Much	Elvis Presley	CNpcTtVsc8s	Similar
Wild Night	John Mellencamp	J2Aw3WbKSus	Similar
Hallelujah, I Love Her So	Ray Charles	aFi4LHSHJY4	Similar
Can't Get It Out Of my Head (7" Edit)	Electric Light Orchestra	N6TtSUO9qTc	Similar
Mama Said	The Shirelles	mvc880rpJeE	Similar
Life Is a Rock (But the Radio Rolled Me)	Reunion	kySY1rR8_Nk	Similar
My World Is Empty Without You	The Supremes	GVKq46pEUrs	Similar
Tired of Being Alone	Al Green	osvlh6XQCYg	Similar
Not in Nottingham | Walt Disney Legacy Collection: Robin Hood	✰𝕄𝕠𝕟𝕥𝕘𝕠𝕞𝕖𝕣𝕪 𝔾𝕒𝕥𝕠𝕣✰	dulbsyPiog8	Similar
You Showed Me	The Turtles	ItfoFXkhqGw	Similar
Stewball (2004 Remaster)	Peter, Paul & Mary	BIVNmhMkNMA	Similar
True Fine Love	Steve Miller Band	hEgvyXTK2Sw	Similar
You Can’t Catch Me	Chuck Berry	DIR792CGrcQ	Similar
If I Had Words	Scott Fitzgerald & Yvonne Keeley	oNEHwsDQ1Hg	Similar
Love or Let Me Be Lonely	The Friends of Distinction	z_BjMRpjEZI	Similar
Never The Same	Supreme Beings Of Leisure	qSSJq3R3mok	Similar
I Thank You	Sam & Dave	0Ot3okMVcG0	Similar
Try A Little Tenderness	Three Dog Night	L519pzGM81Q	Similar
I Can't Stop Loving You	Ray Charles	eZNgVW0lD_k	Similar
Out In The Country	Three Dog Night	I5EZy3ZnLDs	Similar
Let's Dance	The Studio Group	alz58hCIMY8	Similar
Saint-Saëns: Symphony No. 3 In C Minor, Op. 78 "Organ Symphony" - 2b. Maestoso - Più allegro -...	Simon Preston	3vipdmXX8CI	Similar
Do Something to Me	Tommy James	Y-GktjUaMLA	Similar
Can't Seem To Make You Mine	Sky Saxon	Z5wHZvCGgEk	Similar
Story Of The Blues	Gary Moore	4Qn3phmqQTw	Similar
Poor Little Fool	Ricky Nelson	XzkZeGjh5go	Similar
Play Something Sweet (Brickyard Blues)	Three Dog Night	kSJZDoUejSE	Similar
Not Fade Away	The Crickets	7CTga683lBQ	Similar
Soldier of Love	Arthur Alexander	q6wt8C3Fp5w	Similar
Rockin' Pneumonia	Huey "Piano" Smith	euy9lUbhJ04	Similar
The Banjo Song	The Big Three	iodQbGZs64o	Similar
Edge on you	restless	ss_YLpv5xTY	Similar
Pardon My Reflection	Motion	LM4UeAFpXOE	Similar
Any Other Way	The Zombies	QWMwIzmyn9g	Similar
The Payback	James Brown	D7ks03zsg1o	Funk
Do What Ya Wanna Do	T-Connection	Zlve5vtGKEA	Funk
People Say	The Meters	NFv1Hsr1V2U	Funk
Jungle Man	The Meters	qjBEis4wu5k	Funk
Shakey Ground	The Temptations	0c69Y32mTiI	Funk
Cajun Moon	JJ Cale	4HgGQsJvx0E	Funk
Funkin' for Jamaica	Tom Browne	CfUuamLRsbE	Funk
Fire	Ohio Players	jMjBo3edd1g	Funk
Love Rollercoaster	Ohio Players	_5oGtAKebps	Funk
The Cisco Kid	War	_86iwnPKzBY	Funk
Let It Whip	Dazz Band	TDMfH1rx7rk	Funk
It's Your Thing	The Isley Brothers	vajsXO3Ub-4	Funk
September	Earth, Wind & Fire	3cKtSlsYVEU	Funk
Soul Machine	The Meters	GVqpDD3h8ls	Funk
Lewanda's Love (From "ToeJam & Earl: Back in the Groove!")	Cody Wright	ciwFnexEue0	Funk
Mellow Groove (From "ToeJam & Earl: Back in the Groove!")	Cody Wright	y9F-EukrlMQ	Funk
Keep It Comin' Love	KC & The Sunshine Band	cLVHSolR3GA	Funk
Superstition	Stevie Wonder	egqv1mtos6A	Funk
Living For The City	Stevie Wonder	ghLWjyOOLno	Funk
Higher Ground	Stevie Wonder	1esf0efHbjM	Funk
Sir Duke	Stevie Wonder	EnNgASBdCeo	Funk
I Wish	Stevie Wonder	c7IYSAUj78g	Funk
Pastime Paradise	Stevie Wonder	1TLFnokO1Oo	Funk
Sabrosa	Beastie Boys	0p5ysCDWz8Q	Funk
George Bruns -  A Beautiful Spring Day	Ewelina	lHlT0EVq-Yk	Jazz
Freeway	Vince Guaraldi	UqAYyYV1Mgs	Jazz
I Know You Love Me	Lisa Ekdahl	RayvIljRVDk	Jazz
King Porter Stomp (Remastered - 1999)	Bunny Berigan & His Orchestra	NQrzGwGkW5Q	Jazz
Softly as in a Morning Sunrise	Benny Goodman	XSeFc3CP5Mk	Jazz
